66473,1
242018,1
139382,3
342399,1
249853,1
34438,6
388715,1
221623,3
5112,1
362495,1
194094,1
173333,1
252721,0
41750,0
268223,0
323240,0
263219,6
409962,3
27745,1
299258,2
359188,0
271603,1
414375,1
156213,1
67167,3
32905,1
60722,0
218103,1
196629,7
266593,0
182652,0
284697,1
60092,0
48706,1
329553,6
183603,1
407900,1
366488,1
222377,6
309306,6
280088,5
222223,1
71681,6
75440,1
150588,2
18965,1
180918,6
136801,0
51931,6
378508,6
153645,1
187909,1
267323,0
122680,1
115367,0
76156,6
173177,1
82645,0
380165,0
399923,1
229136,1
144622,1
58902,7
143779,0
138294,1
258286,0
332909,1
397235,1
139702,1
158343,6
245494,1
170646,1
100033,1
108071,1
367686,6
385207,0
369217,0
208769,6
323665,1
83496,1
54859,6
215536,1
365134,1
410080,5
217795,0
63768,1
201640,0
180476,0
412279,0
114509,1
325414,2
44833,2
337127,0
87796,2
280716,6
292285,2
275340,1
100740,0
214430,1
5128,1
43752,1
201036,1
393253,2
402535,0
141209,1
77135,1
212103,0
325845,2
145427,1
285098,1
191714,1
249442,0
263858,7
230263,1
407897,6
296677,1
352616,0
214971,1
238734,2
265983,1
322777,0
156894,0
124026,1
148462,1
255332,1
91547,1
96327,2
385352,1
341242,1
362955,1
174822,6
313458,2
281158,0
211166,0
47311,1
196410,1
113703,0
302162,0
154094,2
313405,0
215866,1
218909,0
296378,6
21600,0
6003,1
123521,1
361122,1
252175,1
170047,3
226003,0
80423,0
312079,6
284475,2
260054,0
108321,3
5061,1
364015,1
160136,3
83427,6
18809,3
313250,1
132162,1
7959,1
249168,6
220815,0
90653,2
220565,2
58710,0
173276,2
210711,2
407072,1
70421,6
167607,5
371978,0
216937,1
124447,2
389293,1
404581,0
383030,0
283463,6
379459,0
375219,1
312795,0
302726,1
103789,1
38541,0
191069,1
253220,1
287791,0
189475,1
139429,2
275919,1
376115,0
198027,6
325410,1
376612,7
30624,0
129904,1
271209,1
319068,1
3259,2
177640,1
251930,1
153221,0
205251,0
347842,1
72546,3
369401,1
133739,1
362359,0
56341,1
289748,0
303252,1
33748,4
20036,1
165783,2
305427,1
169890,1
16,0
44612,0
89981,6
240882,1
303065,1
245130,0
101300,2
155417,2
193872,1
190638,6
311225,1
162940,5
122293,0
77469,0
276016,0
135785,0
342307,1
237123,6
125712,1
184361,1
41078,1
324220,2
244155,1
214819,0
261847,1
311886,0
258848,3
142465,0
243995,6
387248,0
112002,1
412595,1
68272,2
297103,1
94055,0
159571,1
232640,4
96557,3
402598,1
206409,6
25437,1
139036,1
174441,1
249428,0
293356,1
112202,0
271515,2
249073,1
191150,0
338786,1
112600,2
364257,1
95789,0
73969,0
387429,2
135059,1
254564,3
128970,2
15477,7
273696,1
156592,6
163022,1
405855,0
393448,1
105930,4
87634,0
413838,0
412706,0
113463,0
74805,3
292296,0
248396,1
259897,2
254625,0
114119,0
36292,1
402216,0
305623,0
388677,2
289502,1
361689,1
23812,1
101360,3
26613,0
234665,0
233137,1
383350,1
298930,3
184859,6
324023,1
17997,1
208776,1
185199,1
410363,2
56687,2
52374,0
395459,7
167509,1
181176,6
146983,6
45797,0
381429,1
362507,6
301347,1
141944,1
160294,6
368100,0
83293,1
195885,3
307157,1
369977,1
69022,1
317865,2
321900,0
356522,1
56248,2
349701,4
182931,1
353043,1
159396,0
62255,1
402539,0
141721,1
79915,1
36203,0
143624,0
220086,2
94892,4
126314,1
188010,6
64426,1
292188,2
401197,6
61567,0
340355,1
185609,0
135820,3
89788,0
397529,1
83144,0
414048,6
292859,6
124893,2
16693,6
231984,1
103978,0
186490,1
358875,2
223102,0
189379,0
242237,1
387329,0
185412,1
132087,2
46186,1
285593,6
34976,0
67712,1
264453,4
129444,0
274459,2
228804,4
344041,0
